##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:23 2016, Fast, 7, 100
Sat Jan  9 16:25:23 2016, Fast, 7, 100
Sat Jan  9 16:25:23 2016, Fast, 10, 100
Sat Jan  9 16:25:23 2016, Fast, 11, 100
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:25 2016, Fast, 6, 100
Sat Jan  9 16:25:25 2016, Fast, 5, 100
Sat Jan  9 16:25:25 2016, Fast, 5, 100
Sat Jan  9 16:25:25 2016, Fast, 5, 100
Sat Jan  9 16:25:25 2016, Fast, 5, 100
Sat Jan  9 16:25:25 2016, Fast, 5, 100
Sat Jan  9 16:25:25 2016, Fast, 6, 100
Sat Jan  9 16:25:25 2016, Fast, 6, 100
Sat Jan  9 16:25:25 2016, Fast, 6, 100
Sat Jan  9 16:25:25 2016, Fast, 6, 100
Sat Jan  9 16:25:25 2016, Fast, 8, 100
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:27 2016, Spec, 0, 200
Sat Jan  9 16:25:27 2016, Spec, 0, 200
Sat Jan  9 16:25:27 2016, Spec, 0, 200
Sat Jan  9 16:25:27 2016, Spec, 1, 200
Sat Jan  9 16:25:27 2016, Spec, 0, 200
Sat Jan  9 16:25:27 2016, Spec, 0, 200
Sat Jan  9 16:25:27 2016, Spec, 0, 200
Sat Jan  9 16:25:27 2016, Spec, 0, 200
Sat Jan  9 16:25:27 2016, Spec, 1, 200
Sat Jan  9 16:25:28 2016, Spec, 0, 200
Sat Jan  9 16:25:28 2016, Spec, 1, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:29 2016, Spec, 1, 200
Sat Jan  9 16:25:30 2016, Spec, 0, 200
Sat Jan  9 16:25:30 2016, Spec, 0, 200
Sat Jan  9 16:25:30 2016, Spec, 0, 200
Sat Jan  9 16:25:30 2016, Spec, 0, 200
Sat Jan  9 16:25:30 2016, Spec, 0, 200
Sat Jan  9 16:25:30 2016, Spec, 0, 200
Sat Jan  9 16:25:30 2016, Spec, 1, 200
Sat Jan  9 16:25:30 2016, Spec, 1, 200
Sat Jan  9 16:25:30 2016, Spec, 1, 200
Sat Jan  9 16:25:30 2016, Spec, 1, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 0, 200
Sat Jan  9 16:25:32 2016, Spec, 1, 200
Sat Jan  9 16:25:32 2016, Spec, 1, 200
##timestamp, editor, milliseconds, initial cmds
Sat Jan  9 16:25:34 2016, Spec, 0, 200
Sat Jan  9 16:25:34 2016, Spec, 0, 200
